Date,Close,Volume,Open,High,Low
2019-07-02,21150.0,2059740.0,21150.0,21300.0,21000.0
2019-07-01,21150.0,2287500.0,21150.0,21200.0,20950.0
2019-06-28,20900.0,2436860.0,20900.0,20900.0,20400.0
2019-06-27,20600.0,2134180.0,20600.0,21000.0,20600.0
2019-06-26,20850.0,2787110.0,20850.0,21200.0,20850.0
2019-06-25,21100.0,1327160.0,21250.0,21300.0,21050.0
2019-06-24,21300.0,1509130.0,21300.0,21350.0,21200.0
2019-06-21,21300.0,2152330.0,21300.0,21450.0,21200.0
2019-06-20,21300.0,2947050.0,20650.0,21300.0,20650.0
2019-06-19,20650.0,1271670.0,20650.0,20800.0,20600.0
2019-06-18,20600.0,736810.0,20700.0,20750.0,20600.0
2019-06-17,20700.0,1361110.0,20800.0,20850.0,20650.0
2019-06-14,20700.0,1524350.0,20600.0,20950.0,20550.0
2019-06-13,20600.0,866620.0,20500.0,20650.0,20400.0
2019-06-12,20600.0,875510.0,20650.0,20750.0,20600.0
2019-06-11,20700.0,1066350.0,20600.0,20750.0,20600.0
2019-06-10,20600.0,1591790.0,20800.0,20850.0,20500.0
2019-06-07,20550.0,1054870.0,20350.0,20550.0,20350.0
2019-06-06,20200.0,1801840.0,20250.0,20500.0,20100.0
2019-06-05,20250.0,1775340.0,20500.0,20600.0,20250.0
2019-06-04,20350.0,1469890.0,20450.0,20500.0,20300.0
2019-06-03,20350.0,2176820.0,20700.0,20800.0,20350.0
2019-05-31,20850.0,2357400.0,21100.0,21200.0,20850.0
2019-05-30,21150.0,1292040.0,21100.0,21350.0,21100.0
2019-05-29,21200.0,1497840.0,21350.0,21350.0,21150.0
2019-05-28,21350.0,1653300.0,21300.0,21400.0,21200.0
2019-05-27,21300.0,1485860.0,21350.0,21400.0,21250.0
2019-05-24,21350.0,2667900.0,21650.0,21700.0,21350.0
2019-05-23,21650.0,1844140.0,21500.0,21750.0,21500.0
2019-05-22,21550.0,4816550.0,21550.0,21850.0,21250.0
2019-05-21,21300.0,2361180.0,21200.0,21400.0,21150.0
2019-05-20,21150.0,2578400.0,21050.0,21350.0,21050.0
2019-05-17,21200.0,1490020.0,21300.0,21400.0,21100.0
2019-05-16,21300.0,1557280.0,21500.0,21500.0,21300.0
2019-05-15,21450.0,2589070.0,21250.0,21600.0,21250.0
