Date,Close,Volume,Open,High,Low
2018-04-02,136100,811810,132000,136400,131700
2018-03-30,131400,606010,127000,131700,126500
2018-03-29,126500,254020,127000,127200,125500
2018-03-28,127000,420920,126900,127500,125500
2018-03-27,126800,854590,132000,133000,125800
2018-03-26,129600,960430,130000,135800,129600
2018-03-23,130900,722160,129500,132000,128500
2018-03-22,133800,898250,129800,134900,128800
2018-03-21,127200,621450,128000,129600,126500
2018-03-20,126000,619750,126500,129000,126000
2018-03-19,128500,727400,127000,129500,126500
2018-03-16,128000,1231950,128000,128000,119800
2018-03-15,121000,577980,117000,121000,116000
2018-03-14,118200,816130,115000,118500,114600
2018-03-13,115000,218290,116200,116200,113900
2018-03-12,116200,504770,116200,116800,114000
2018-03-09,112000,606610,114800,115500,112000
2018-03-08,114600,301630,113100,116900,113100
2018-03-07,114800,718330,117000,117800,111500
2018-03-06,117000,806110,115000,117200,113000
2018-03-05,112000,822020,119000,120300,112000
2018-03-02,117000,923410,114000,118000,114000
2018-03-01,116000,875090,113000,117400,112000
2018-02-28,113900,721370,112500,114200,111500
2018-02-27,113500,608620,116000,116000,112600
2018-02-26,113000,845250,111500,118000,111500
2018-02-23,111000,748160,109000,111500,107200
2018-02-22,106000,605460,110000,110300,106000
2018-02-21,112000,553510,110000,113800,108900
2018-02-13,108000,541220,105300,109000,105300
2018-02-12,103500,1341740,95200,103500,95200
2018-02-09,96800,1146710,96800,100000,96800
2018-02-08,104000,684310,105000,107900,104000
2018-02-07,110000,708130,107900,111800,106700
2018-02-06,104800,1054820,104800,109500,104800
2018-02-05,112600,1082160,118100,119800,112600
2018-02-02,121000,561430,122200,124000,120000
2018-02-01,122200,1183240,124600,124600,119000
2018-01-31,124600,2286340,115000,124600,114000
2018-01-30,116500,1171560,114000,116800,112500
2018-01-29,115900,929870,118900,118900,115000
2018-01-26,116400,2222720,118800,120000,112000
2018-01-25,113300,1156390,112500,113300,111000
2018-01-22,105900,1812130,99000,105900,98000
2018-01-19,99000,724530,99900,101000,99000
